tailnum,manufacturer,issue_date,model,aircraft_type,engine_type,year
N5DNAA,,,,,,
N5DPAA,,,,,,
N5DRAA,,,,,,
N5DSAA,,,,,,
N5DTAA,,,,,,
N5DUAA,,,,,,
N5DVAA,,,,,,
N5DWAA,,,,,,
N5DXAA,,,,,,
N5DYAA,,,,,,
N5EAAA,,,,,,
N5EBAA,,,,,,
N5ECAA,,,,,,
N5EDAA,,,,,,
N5EEAA,,,,,,
N5EFAA,,,,,,
N5EGAA,,,,,,
N5EHAA,,,,,,
N5EJAA,,,,,,
N5EKAA,,,,,,
N5ELAA,,,,,,
N5EMAA,,,,,,
N5ENAA,,,,,,
N5EPAA,,,,,,
N5ERAA,,,,,,
N5ESAA,,,,,,
N5ETAA,,,,,,
N5EUAA,,,,,,
N5EVAA,,,,,,
N5EWAA,,,,,,
N5EXAA,,,,,,
N5EYAA,,,,,,
N5FAAA,,,,,,
N5FBAA,,,,,,
N5FCAA,,,,,,
N5FDAA,,,,,,
N5FEAA,,,,,,
N5FFAA,,,,,,
N5FGAA,,,,,,
N5FHAA,,,,,,
N5FJAA,,,,,,
N5FKAA,,,,,,
N5FLAA,,,,,,
N5FMAA,,,,,,
N5FNAA,,,,,,
N5FPAA,,,,,,
N5FRAA,,,,,,
N5FSAA,,,,,,
N5FTAA,,,,,,
N600TR,MCDONNELL DOUGLAS,3/1/1995,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,1979
N600WN,BOEING,5/13/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N601AW,AIRBUS,12/5/2003,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2003
N601DL,BOEING,3/27/1985,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N601WN,BOEING,5/13/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N602DL,BOEING,6/20/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1984
N602NW,MCDONNELL DOUGLAS,6/3/2008,DC-9-32,Fixed Wing Multi-Engine,Turbo-Jet,1967
N602SW,BOEING,5/13/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N603AT,BOEING,8/14/2001,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2001
N603AW,AIRBUS,2/18/2004,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,1997
N603DL,BOEING,6/15/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1984
N603JB,AIRBUS,1/12/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N603NW,,,,,,
N603SK,BOMBARDIER INC,1/30/2007,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2006
N603SW,BOEING,7/19/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N604AT,BOEING,8/28/2001,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2001
N604AW,AIRBUS INDUSTRIE,6/9/2000,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,2000
N604DL,BOEING,6/20/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1984
N604SK,BOMBARDIER INC,10/25/2006,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2006
N604SW,BOEING,2/14/2005,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N605AW,AIRBUS INDUSTRIE,1/25/2000,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,1997
N605DL,BOEING,6/22/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1984
N605JB,AIRBUS,2/10/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N605NW,,,,,,
N605SW,BOEING,5/19/2004,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N606DL,BOEING,2/8/1985,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N606JB,AIRBUS,2/23/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N606NW,MCDONNELL DOUGLAS,4/1/1996,DC-9-32,Fixed Wing Multi-Engine,Turbo-Jet,1968
N606SK,BOMBARDIER INC,8/1/2006,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2006
N606SW,BOEING,8/29/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N607AS,BOEING,7/30/1999,737-790,Fixed Wing Multi-Engine,Turbo-Jet,1999
N607JB,AIRBUS,2/25/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N607SK,BOMBARDIER INC,8/1/2006,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2006
N607SW,BOEING,8/31/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N608DA,BOEING,7/3/1985,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N608JB,AIRBUS,4/13/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N608NW,MCDONNELL DOUGLAS,1/26/1996,DC-9-32,Fixed Wing Multi-Engine,Turbo-Jet,1968
N608SK,BOMBARDIER INC,8/1/2006,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2006
N608SW,BOEING,9/7/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N609AS,BOEING,8/24/1999,737-790,Fixed Wing Multi-Engine,Turbo-Jet,1999
N609DL,BOEING,6/21/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N609SK,BOMBARDIER INC,1/25/2002,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2002
N609SW,BOEING,9/15/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N610AA,BOEING,10/4/1989,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1989
N610AE,EMBRAER,8/17/1998,EMB-145,Fixed Wing Multi-Engine,Turbo-Jet,1998
N610DL,BOEING,6/22/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N610NW,MCDONNELL DOUGLAS,2/23/1996,DC-9-32,Fixed Wing Multi-Engine,Turbo-Jet,1969
N610WN,BOEING,9/29/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N611AA,MORSE GEORGE JR,5/5/1998,F85P-1,Fixed Wing Single-Engine,Reciprocating,1985
N611AE,EMBRAER,8/24/1998,EMB-145,Fixed Wing Multi-Engine,Turbo-Jet,1998
N611AS,BOEING,10/7/1999,737-790,Fixed Wing Multi-Engine,Turbo-Jet,1999
N611DL,BOEING,6/20/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N611NA,,,,,,
N611SK,BOMBARDIER INC,3/27/2002,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2002
N611SW,BOEING,10/20/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N612AA,BOEING,10/4/1989,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1989
N612AE,EMBRAER,9/18/1998,EMB-145,Fixed Wing Multi-Engine,Turbo-Jet,1998
N612AS,BOEING,11/3/1999,737-790,Fixed Wing Multi-Engine,Turbo-Jet,1999
N612DL,BOEING,6/15/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N612JB,AIRBUS,5/26/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N612SW,BOEING,11/1/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N61304,BOEING,4/4/2006,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1985
N613AA,BOEING,10/3/1989,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1989
N613AE,EMBRAER,9/25/1998,EMB-145,Fixed Wing Multi-Engine,Turbo-Jet,1998
N613AS,BOEING,1/12/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,1999
N613DL,BOEING,2/21/1986,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N613JB,AIRBUS,6/15/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N613NW,MCDONNELL DOUGLAS,10/20/1995,DC-9-32,Fixed Wing Multi-Engine,Turbo-Jet,1969
N613SK,BOMBARDIER INC,4/4/2002,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2002
N613SW,BOEING,11/2/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N614AA,BOEING,6/2/1999,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1989
N614AE,EMBRAER,10/22/1998,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N614AS,BOEING,1/25/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,1999
N614DL,BOEING,2/25/1986,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1985
N614SK,BOMBARDIER INC,7/31/2002,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2002
N614SW,BOEING,11/9/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N615AA,BEECH,10/28/2004,65-A90,Fixed Wing Multi-Engine,Turbo-Prop,1967
N615AE,EMBRAER,10/27/1998,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N615AS,BOEING,3/6/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2000
N615DL,BOEING,3/26/1986,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1986
N615JB,AIRBUS,6/20/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N615SW,BOEING,11/17/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N616AA,BOEING,5/20/1999,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1989
N616AE,EMBRAER,11/19/1998,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N616DL,BOEING,8/1/1986,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1986
N616SW,BOEING,11/20/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N617AA,,,,,,
N617AE,EMBRAER,11/25/1998,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N617AS,BOEING,7/17/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2000
N617DL,BOEING,9/18/1986,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1986
N617SW,BOEING,12/13/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N618AA,BOEING,12/14/1999,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1989
N618AE,EMBRAER,12/18/1998,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N618AS,BOEING,7/12/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2000
N618DL,BOEING,8/4/1986,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1986
N618JB,AIRBUS,7/20/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N618WN,BOEING,12/19/1995,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N619AA,BOEING,12/14/1999,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N619AE,EMBRAER,12/22/1998,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1998
N619AS,BOEING,7/10/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2000
N619AW,AIRBUS INDUSTRIE,9/2/2003,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,1995
N619DL,BOEING,10/3/1986,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1986
N619SW,BOEING,1/5/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1995
N620AA,BOEING,12/14/1999,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N620AW,AIRBUS INDUSTRIE,12/19/1994,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N620SW,BOEING,7/17/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N621AA,CESSNA,6/13/2003,172M,Fixed Wing Single-Engine,4 Cycle,1975
N621AW,AIRBUS INDUSTRIE,9/6/1989,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N621DL,BOEING,1/12/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1986
N621JB,AIRBUS,7/21/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N621SW,BOEING,7/17/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N622AA,BOEING,9/11/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N622AE,EMBRAER,2/11/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N622AS,BOEING,9/20/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2000
N622AW,AIRBUS INDUSTRIE,9/1/1989,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N622DL,BOEING,1/21/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1986
N622SW,BOEING,7/17/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N623AA,BOEING,9/6/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N623AE,EMBRAER,2/11/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N623AS,BOEING,11/15/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2000
N623DL,BOEING,4/3/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N623JB,AIRBUS,8/10/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N623SW,BOEING,7/18/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N624AA,BOEING,9/5/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N624AE,EMBRAER,2/25/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N624AS,BOEING,12/15/2000,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2000
N624AW,AIRBUS INDUSTRIE,9/26/1989,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N624DL,BOEING,4/3/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N624JB,AIRBUS,8/31/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N624SW,BOEING,5/16/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N625AA,BOEING,9/7/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N625AE,EMBRAER,3/11/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N625AS,BOEING,2/2/2001,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2001
N625AW,AIRBUS INDUSTRIE,9/21/1989,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N625CA,BOMBARDIER INC,8/29/2003,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2003
N625DL,BOEING,10/15/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N625JB,AIRBUS,9/28/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N625SW,BOEING,10/22/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N62631,BOEING,6/13/1995,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1995
N626AA,BOEING,9/5/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N626AE,EMBRAER,3/18/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N626AS,BOEING,2/9/2001,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2001
N626AW,AIRBUS INDUSTRIE,4/2/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N626DL,BOEING,7/25/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N626SW,BOEING,10/22/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N627AA,BOEING,9/28/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N627AE,EMBRAER,4/9/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N627AS,BOEING,3/29/2001,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2001
N627AW,AIRBUS INDUSTRIE,1/19/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N627DL,BOEING,10/15/2007,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N627JB,AIRBUS,11/4/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N627SW,BOEING,10/22/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N628AA,BOEING,9/4/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N628AE,EMBRAER,4/15/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N628AW,AIRBUS INDUSTRIE,1/4/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N628DL,BOEING,7/1/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N628SW,BOEING,10/23/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N629AA,BOEING,12/14/1999,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N629AE,EMBRAER,5/10/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N629AW,AIRBUS INDUSTRIE,1/18/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1990
N629BR,BOMBARDIER INC,7/23/1998,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1998
N629DL,BOEING,12/15/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N629JB,AIRBUS,11/3/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N629SW,BOEING,7/24/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N630AA,BOEING,12/14/1999,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N630AE,EMBRAER,5/17/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N630DL,BOEING,12/14/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N630JB,AIRBUS,12/22/2005,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2005
N630WN,BOEING,7/18/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N631AA,BOEING,11/8/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N631AE,EMBRAER,6/17/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N631AW,AIRBUS INDUSTRIE,12/27/1989,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1990
N631DL,BOEING,12/21/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N631SW,BOEING,7/16/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N632AA,BOEING,11/8/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N632AE,EMBRAER,6/23/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N632AW,AIRBUS INDUSTRIE,1/3/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N632DL,BOEING,12/29/1987,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N632JB,AIRBUS,1/11/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N632SW,BOEING,7/31/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N63305,BOEING,1/19/2006,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1985
N633AA,BOEING,11/16/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N633AE,EMBRAER,7/16/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N633AW,AIRBUS INDUSTRIE,1/2/1989,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1989
N633DL,BOEING,8/2/2006,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1987
N633JB,AIRBUS,2/1/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N633SW,BOEING,9/5/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N634AA,BOEING,12/20/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N634AE,EMBRAER,7/21/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N634AW,AIRBUS INDUSTRIE,9/28/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1990
N634DL,BOEING,2/3/1988,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N634JB,AIRBUS,3/13/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N634SW,BOEING,9/10/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N635AA,BOEING,12/19/1990,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1990
N635AE,EMBRAER,8/13/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N635DL,BOEING,3/3/1988,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N635JB,AIRBUS,4/4/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N635SW,BOEING,10/3/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N636AA,,,,,,
N636AE,EMBRAER,8/18/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N636AW,AIRBUS INDUSTRIE,9/28/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1990
N636DL,BOEING,6/3/1988,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N636JB,AIRBUS,12/6/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N636WN,BOEING,1/6/1997,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N637AE,EMBRAER,9/15/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N637AW,AIRBUS INDUSTRIE,9/28/1990,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1990
N637DL,BOEING,6/3/1988,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N637JB,AIRBUS,5/24/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N637SW,BOEING,10/4/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N638AA,BOEING,4/19/1991,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1991
N638AE,EMBRAER,9/22/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N638DL,BOEING,6/16/1988,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N638JB,AIRBUS,6/14/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N638SW,BOEING,11/5/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N639AA,BOEING,2/27/1991,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1991
N639AE,EMBRAER,10/22/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N639DL,BOEING,12/5/1988,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N639JB,AIRBUS,6/28/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N639SW,BOEING,11/13/1996,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N640AA,,,,,,
N640AE,EMBRAER,10/27/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N640AS,AEROSPATIALE/ALENIA,9/15/2005,ATR-72-212,Fixed Wing Multi-Engine,Turbo-Prop,1994
N640AW,AIRBUS INDUSTRIE,5/25/1999,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,1994
N640DL,BOEING,12/21/1988,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N640JB,AIRBUS,7/12/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N640SW,BOEING,2/19/1997,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N641AA,BOEING,1/11/2002,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1991
N641AE,EMBRAER,11/17/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N641AS,AEROSPATIALE/ALENIA,9/15/2005,ATR-72-212,Fixed Wing Multi-Engine,Turbo-Prop,1994
N641CA,BOMBARDIER INC,10/30/2003,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2003
N641DL,BOEING,12/31/2002,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N641JB,AIRBUS,8/2/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N641SW,BOEING,2/25/1997,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1996
N641UA,BOEING,4/19/1991,767-322,Fixed Wing Multi-Engine,Turbo-Fan,1991
N642AA,BOEING,4/8/1991,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1991
N642AE,EMBRAER,11/23/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N642AS,AEROSPATIALE/ALENIA,9/15/2005,ATR-72-212,Fixed Wing Multi-Engine,Turbo-Prop,1994
N642AW,AIRBUS INDUSTRIE,11/28/2007,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,1996
N642CA,BOMBARDIER INC,12/8/2003,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,2003
N642DL,BOEING,1/26/1989,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1988
N642UA,BOEING,11/23/2005,767-322,Fixed Wing Multi-Engine,Turbo-Fan,1991
N642WN,BOEING,2/11/1997,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1997
N643AA,BOEING,7/3/1991,757-223,Fixed Wing Multi-Engine,Turbo-Fan,1991
N643AE,EMBRAER,12/10/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N643AS,AEROSPATIALE/ALENIA,9/15/2005,ATR-72-212,Fixed Wing Multi-Engine,Turbo-Prop,1994
N643DL,BOEING,2/11/1989,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1989
N643JB,AIRBUS,9/7/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N643SW,BOEING,2/13/1997,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1997
N643UA,BOEING,11/22/2005,767-322,Fixed Wing Multi-Engine,Turbo-Fan,1991
N644AE,EMBRAER,12/21/1999,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,1999
N644AS,BOEING,2/7/2003,737-790,Fixed Wing Multi-Engine,Turbo-Jet,2003
N644AW,AIRBUS INDUSTRIE,2/10/2003,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,1992
N644DL,BOEING,2/15/1989,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1989
N644JB,AIRBUS,9/20/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N644SW,BOEING,5/12/1997,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1997
N644UA,BOEING,11/22/2005,767-322,Fixed Wing Multi-Engine,Turbo-Fan,1991
N645AE,EMBRAER,1/14/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N645DL,BOEING,12/31/2002,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1989
N645JB,AIRBUS,10/5/2006,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,2006
N645SW,BOEING,6/5/1997,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,1997
N646AE,EMBRAER,1/20/2000,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2000
N646BR,BOMBARDIER INC,4/27/2000,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N646DL,BOEING,5/1/1989,757-232,Fixed Wing Multi-Engine,Turbo-Jet,1989
